dtk2,gcode,nsum,lvcnt,bomb,bomblag,klaB,klaBlag,klaK,klaKlag
30Mar99,"south",108.2622,16411,0,3,3,0,0,1
01Apr99,"south",223.4469,21974,0,0,1,3,0,0
03Apr99,"south",198.4343,12853,0,0,0,1,2,0
05Apr99,"south",117.1187,14171,1,0,0,0,0,2
07Apr99,"south",4.292386,1526,2,1,1,0,1,0
09Apr99,"south",5.856782,1182,0,2,0,1,1,1
11Apr99,"south",2.517498,808,2,0,0,0,4,1
13Apr99,"south",3.710354,944,0,2,0,0,1,4
15Apr99,"south",11.21384,1480,0,0,0,0,0,1
17Apr99,"south",21.40914,1733,0,0,0,0,3,0
19Apr99,"south",3.55044,1409,0,0,1,0,1,3
21Apr99,"south",2.903008,594,0,0,0,1,0,1
23Apr99,"south",2.077681,300,0,0,0,0,0,0
25Apr99,"south",.4284872,573,1,0,0,0,0,0
27Apr99,"south",1.400714,880,2,1,0,0,1,0
29Apr99,"south",.1707993,5490,0,2,0,0,0,1
01May99,"south",3.839164,3229,0,0,0,0,1,0
03May99,"south",3.899042,1118,1,0,0,0,0,1
05May99,"south",.2617928,267,1,1,0,0,0,0
07May99,"south",11.9507,435,0,1,0,0,0,0
09May99,"south",3.012367,459,1,0,0,0,2,0
11May99,"south",1.037044,1204,1,1,0,0,1,2
13May99,"south",.2417855,17,2,1,0,0,0,1
15May99,"south",.5021698,18,3,2,0,0,5,0
17May99,"south",2.256045,81,2,3,0,0,3,5
19May99,"south",0,42,1,2,0,0,0,3
21May99,"south",0,1401,2,1,0,0,0,0
23May99,"south",0,184,3,2,0,0,3,0
25May99,"south",238.1782,235,5,3,0,0,2,3
27May99,"south",2.722037,282,1,5,20,0,2,2
29May99,"south",2.041528,0,3,1,0,20,37,2
31May99,"south",0,0,2,3,1,0,0,37
02Jun99,"south",0,0,2,2,0,1,1,0
04Jun99,"south",0,0,3,2,0,0,0,1
06Jun99,"south",0,0,5,3,0,0,0,0
08Jun99,"south",5,0,2,5,0,0,0,0
10Jun99,"south",0,0,0,2,0,0,3,0
12Jun99,"south",0,0,0,0,0,0,5,3
14Jun99,"south",0,0,0,0,0,0,0,5
16Jun99,"south",0,0,0,0,0,0,0,0
18Jun99,"south",0,0,0,0,0,0,0,0
20Jun99,"south",0,0,0,0,0,0,5,0
22Jun99,"south",0,0,0,0,0,0,1,5
20Mar99,"west",19.11355,1296,0,,0,,1,
22Mar99,"west",25.02138,2439,0,0,1,0,2,1
24Mar99,"west",480.6428,4492,0,0,4,1,5,2
26Mar99,"west",716.344,8045,0,0,1,4,21,5
28Mar99,"west",682.1636,20673,2,0,4,1,5,21
30Mar99,"west",298.1312,12964,0,2,0,4,0,5
01Apr99,"west",162.3687,16433,2,0,5,0,6,0
03Apr99,"west",144.1931,17954,0,2,2,5,1,6
05Apr99,"west",85.10481,14918,1,0,0,2,0,1
07Apr99,"west",28.12642,1657,1,1,1,0,1,0
09Apr99,"west",38.37733,1338,0,1,2,1,4,1
11Apr99,"west",16.49624,1091,3,0,1,2,1,4
13Apr99,"west",12.7308,1801,1,3,0,1,1,1
15Apr99,"west",38.47644,2008,2,1,1,0,3,1
17Apr99,"west",73.45807,2341,0,2,1.5,1,1,3
19Apr99,"west",17.89551,2434,0,0,2,1.5,1,1
21Apr99,"west",14.63222,908,1,0,0,2,1,1
23Apr99,"west",10.47227,408,0,1,0,0,0,1
25Apr99,"west",9.640961,388,1,0,0,0,0,0
27Apr99,"west",31.51606,2043,1,1,0,0,0,0
29Apr99,"west",3.842985,1618,0,1,0,0,0,0
01May99,"west",58.54288,954,4,0,1,0,1,0
03May99,"west",59.45595,2169,3,4,0,1,7,1
05May99,"west",3.992043,843,0,3,0,0,3,7
07May99,"west",27.88477,4230,2,0,1,0,6,3
09May99,"west",7.028807,3767,4,2,1,1,1,6
11May99,"west",2.419753,103,2,4,1,1,3,1
13May99,"west",3.358131,11,4,2,0,1,1,3
15May99,"west",6.974581,6,7,4,1,0,0,1
17May99,"west",31.33395,3,2,7,0,1,1,0
19May99,"west",1.791151,20,2,2,0,0,0,1
21May99,"west",3.866039,12,6,2,0,0,1,0
23May99,"west",4.342809,388,2,6,0,0,2,1
25May99,"west",4.901961,43,8,2,0,0,4,2
27May99,"west",.0560224,18,5,8,0,0,0,4
29May99,"west",.0420168,0,6,5,0,0,1,0
31May99,"west",57.78452,0,5,6,0,0,16,1
02Jun99,"west",0,0,5,5,1,0,1,16
04Jun99,"west",0,0,4,5,1,1,0,1
06Jun99,"west",0,0,8,4,0,1,2,0
08Jun99,"west",2,0,5,8,0,0,0,2
10Jun99,"west",0,0,0,5,0,0,0,0
12Jun99,"west",0,0,0,0,0,0,0,0
14Jun99,"west",2.820895,0,0,0,0,0,1,0
16Jun99,"west",.1791044,0,0,0,0,0,12,1
18Jun99,"west",0,0,0,0,0,0,15,12
20Jun99,"west",0,0,0,0,1,0,8,15
22Jun99,"west",0,0,0,0,0,1,2,8
